Steering angle;Velocity
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
0;2
0;2
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
0;2
0;1
0;1
0;1
0;1
0;1
0;1
0;1
0;1
0;1
0;1
0;1
0;1
0;1
0;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
-0.4771555045146756;1
-0.4771555045146756;1
-0.4771555045146756;1
-0.4771555045146756;1
-0.4771555045146756;1
-0.4771555045146756;1
-0.4771555045146756;1
-0.4771555045146756;1
-0.4771555045146756;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
0.4771555045146756;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
-0.24762513375901282;1
